FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID829481_Anthidium_aztecum_female_lateral_E_scale.jpg,78.158,102.894,8348200.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.221
Megachile_PTILOSARUS_microsoma_female_lateral_20(2)_E.jpg,63.838,96.069,8435059.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.978
Osmia_Metallinella_brevicornis_female_lateralhabitus.jpg,78.082,106.698,8459190.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.477
Xenofidelia_65mm_2x.jpg,56.759,91.880,9286907.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.342
