FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID829481_Anthidium_aztecum_female_lateral_E_scale.jpg,186.899,81.092,2928120.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.822
Megachile_PTILOSARUS_microsoma_female_lateral_20(2)_E.jpg,193.504,76.881,1863652.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.065
Osmia_Metallinella_brevicornis_female_lateralhabitus.jpg,206.612,74.162,2572461.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.538
Xenofidelia_65mm_2x.jpg,175.635,85.390,2280144.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.617
