FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID829481_Anthidium_aztecum_female_lateral_E_scale.jpg,79.379,104.653,8348200.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.981
Megachile_PTILOSARUS_microsoma_female_lateral_20(2)_E.jpg,65.583,98.946,8435059.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.183
Osmia_Metallinella_brevicornis_female_lateralhabitus.jpg,79.634,108.837,8459190.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.189
Xenofidelia_65mm_2x.jpg,57.580,93.388,9286907.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.128
