FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID829481_Anthidium_aztecum_female_lateral_E_scale.jpg,183.752,79.391,2928120.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.088
Megachile_PTILOSARUS_microsoma_female_lateral_20(2)_E.jpg,186.724,73.380,1863652.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.923
Osmia_Metallinella_brevicornis_female_lateralhabitus.jpg,202.178,72.806,2572461.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.797
Xenofidelia_65mm_2x.jpg,172.247,83.964,2280144.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.428
